city_name,city_code,title,price,price_raw,location,rooms,bathrooms,area_m2,image_count,url,timestamp,status,image_urls
Valencia,valencia,Flat in Camí Reial Valencia,89000.0,89.000€,"Camí Reial- 
                            Cl Bhering",2.0,5.0,50.0,5,https://english.habitaclia.com/buy-flat-cami_reial-valencia-i52793000009977.htm?pag=5&f=&geo=p&from=list&lo=55,2025-09-01T19:22:17.253593,success,"['https://static10.habimg.com/hab_inmuebles_img/app-retina-phone.png', 'https://images.habimg.com/imgh/16190-2078/en-valencia-valencia_29f0e0cc-c3e6-472b-bb79-cf05cc98ccd2.jpg', 'https://images.habimg.com/imgh/52793-9977/cl-bhering-flat-valencia_efa3b176-204e-4a5b-9d79-6ed4bb1986eeP.jpg', 'https://images.habimg.com/imgh/52793-9977/cl-bhering-flat-valencia_b0e26c39-9b25-4268-870c-1bc4e3c64397G.jpg', 'https://images.habimg.com/imgh/44590-6548/felipe-valls-53-flat-valencia_bf8eef5e-83aa-4ef0-913a-0331cabf7a91.jpg']"
Valencia,valencia,House with heating in El Cabanyal-El Canyamelar Valencia,400000.0,400.000€,El Cabanyal-El Canyamelar,2.0,5.0,50.0,5,https://english.habitaclia.com/buy-house-el_cabanyal_el_canyamelar-valencia-i5953003371378.htm?pag=3&f=&geo=p&from=list&lo=55,2025-09-01T19:22:18.903981,success,"['https://images.habimg.com/imgh/5953-3371378/exclusiva-casa-en-el-cabanyal--valencia_88569694-9fa1-4721-82ab-a30f025c3e7dG.jpg', 'https://static10.habimg.com/hab_inmuebles_img/app-retina-phone.png', 'https://images.habimg.com/imgh/4737-3825832/casa-en-venta-en-el-cabanal-valencia_8bcd96c8-fb13-43fa-9278-07c7e61722fd.jpg', 'https://images.habimg.com/imgh/5953-3371378/exclusiva-casa-en-el-cabanyal--valencia_394c6298-3aca-43db-953c-dab4d92eb677G.jpg', 'https://images.habimg.com/imgh/10946-2707141/l-hort-de-senabre-flat-valencia_6e3c0dbc-3dea-46f7-baca-acead5dae895.jpg']"
Valencia,valencia,real estate agencies Valencia,,,,,,,5,https://english.habitaclia.com/real-estate-in-valencia/province_valencia-valencia-area_1/inmobiliarias.htm,2025-09-01T19:22:20.673262,success,"['https://static6.habimg.com/hab_logos/11814-1.gif', 'https://static10.habimg.com/hab_inmuebles_img/app-retina-phone.png', 'https://static6.habimg.com/hab_logos/50179-1.gif', 'https://static6.habimg.com/hab_logos/22916-1.gif', 'https://static11.habimg.com/hab_inmuebles_img/app-retina-as.png']"
Valencia,valencia,Flat in La Roqueta Valencia,260000.0,260.000€,"La Roqueta- 
                            Calle CONVENTO JERUSALEN",2.0,5.0,50.0,5,https://english.habitaclia.com/buy-flat-la_roqueta-valencia-i53307000000071.htm?pag=2&f=&geo=p&from=list&lo=55,2025-09-01T19:22:22.646126,success,"['https://images.habimg.com/imgh/43863-309/impresionante-vivienda-en-el-cabanal-valencia_d6c1dbca-a664-4403-bcef-d7e304d25205.jpg', 'https://static10.habimg.com/hab_inmuebles_img/app-retina-phone.png', 'https://images.habimg.com/imgh/53307-71/piso-en-venta-en-el-centro-junto-plaza-espana-y-estacion-del-norte-valencia_dde6bd7a-1dc9-4449-a410-c795f54d0c8dG.jpg', 'https://images.habimg.com/imgh/41398-145/piso-en-venta-en-la-roqueta46007-valencia_6f42dcee-5c6b-442b-9991-abb828d6191f.jpg', 'https://images.habimg.com/imgh/20930-1684/piso-en-venta-en-ciutat-vella-valencia_d0d94bc0-af2c-478b-a960-30966b8ad824.jpg']"
Valencia,valencia,Flat in Nou Moles Valencia,236000.0,236.000€,Nou Moles,2.0,5.0,50.0,5,https://english.habitaclia.com/buy-flat-nou_moles-valencia-i10946002707055.htm?pag=5&f=&geo=p&from=list&lo=55,2025-09-01T19:22:24.352280,success,"['https://static10.habimg.com/hab_inmuebles_img/app-retina-phone.png', 'https://images.habimg.com/imgh/8137-3996760/exterior-y-acogedor-con-balcon-cerca-de-la-av-de-perez-galdos-valencia_9788169f-9455-433c-802f-fe4eb0066665.jpg', 'https://images.habimg.com/imgh/10946-2707055/nou-moles-flat-valencia_2c12f862-a827-44d7-9887-85df343df85fG.jpg', 'https://images.habimg.com/imgh/8055-3915060/venta-piso-en-zona-nou-moles-valencia_69c0c447-0a72-4a42-8b19-1ce957144d66.jpg', 'https://images.habimg.com/imgh/10946-2707055/nou-moles-flat-valencia_d1aa410e-9b32-4ab9-b8d5-611c46cd471eG.jpg']"
Valencia,valencia,Flat in Ciutat Jardí Valencia,315000.0,315.000€,"Ciutat Jardí- 
                            Calle ACTRIZ ENCARNA MAÑEZ",2.0,5.0,50.0,5,https://english.habitaclia.com/buy-flat-ciutat_jardi-valencia-i8176003399036.htm?pag=6&f=&geo=p&from=list&lo=55,2025-09-01T19:22:26.200445,success,"['https://images.habimg.com/imgh/8176-3399036/luminoso-piso-en-venta-junto-a-la-emblematica-plaza-del-cedro-valencia_10476a5e-0bac-476f-a9fa-51d0447ef2c4G.jpg', 'https://static10.habimg.com/hab_inmuebles_img/app-retina-phone.png', 'https://images.habimg.com/imgh/8176-3399036/luminoso-piso-en-venta-junto-a-la-emblematica-plaza-del-cedro-valencia_3dbb393e-bb64-416f-9fee-ebd0182caeb4G.jpg', 'https://images.habimg.com/imgh/4737-3825846/piso-en-venta-en-quatre-carreres-valencia_3d4c8b90-5466-4b43-9839-a34f66567f40.jpg', 'https://images.habimg.com/imgh/8176-3399036/luminoso-piso-en-venta-junto-a-la-emblematica-plaza-del-cedro-valencia_b0c68384-5a5b-4d25-9b92-b12d4d6904f9G.jpg']"
Valencia,valencia,Penthouse in La Raïosa Valencia,299999.0,299.999€,"La Raïosa- 
                            Carrer de Jesús",2.0,5.0,50.0,5,https://english.habitaclia.com/buy-penthouse-la_raiosa-valencia-i11065003827898.htm?pag=2&f=&geo=p&from=list&lo=55,2025-09-01T19:22:28.562623,success,"['https://static10.habimg.com/hab_inmuebles_img/app-retina-phone.png', 'https://images.habimg.com/imgh/8137-3997797/atico-semireformado-con-ascensor-y-terraza-cerca-de-la-av-giorg-valencia_5c41c7fc-6a08-4847-99b6-ece0f48cd4e5.jpg', 'https://images.habimg.com/imgh/15076-1377/atico-en-venta-en-patraix-valencia_b593002e-3e1d-42a0-a685-061960256410.jpg', 'https://images.habimg.com/imgh/11065-3827898/atico-en-venta-en-jesus-en-valencia-valencia_dd644076-f6b8-44e7-adfd-f00ee083a53dG.jpg', 'https://images.habimg.com/imgh/11065-3827898/atico-en-venta-en-jesus-en-valencia-valencia_a2aaa9ac-0991-4edf-a103-8ab4bd1aff83G.jpg']"
Valencia,valencia,Flat in plaça d'enric granados 2 in Barrio de Patraix Valencia,312000.0,312.000€,"Barrio de Patraix- 
                            Plaça d'Enric Granados 2",2.0,5.0,50.0,5,https://english.habitaclia.com/buy-flat-square_d_enric_granados_2_barrio_de_patraix-valencia-i11065003827914.htm?pag=7&f=&geo=p&from=list&lo=55,2025-09-01T19:22:30.202857,success,"['https://static10.habimg.com/hab_inmuebles_img/app-retina-phone.png', 'https://images.habimg.com/imgh/885-3221382/proxima-a-la-plaza-patraix-valencia_a406beed-235b-4a5e-b893-3a91962049cf.jpg', 'https://images.habimg.com/imgh/54982-78/tu-nuevo-hogar-en-patraix-acogedor-piso-de-3-dormitorios-y-1-ba-valencia_4e260dbd-3e0d-4be8-90f2-459b539f2464.jpg', 'https://images.habimg.com/imgh/28705-2007/piso-137-metros-garaje-planta-4-cuenta-con-4-amplias-habitaci-valencia_6a9236c6-cdca-41db-b9f7-fa359d36bd27.jpg', 'https://images.habimg.com/imgh/44579-279/piso-en-venta-en-el-barrio-de-patraix-valencia-valencia_a6195185-93a6-4b69-b78a-51cb7f7aee8b.jpg']"
Valencia,valencia,Penthouse with heating parking in Malilla Valencia,570000.0,570.000€,"Malilla- 
                            Calle ISLA CABRERA",2.0,5.0,50.0,5,https://english.habitaclia.com/buy-penthouse-malilla-valencia-i8205000000909.htm?pag=6&f=&geo=p&from=list&lo=55,2025-09-01T19:22:31.834782,success,"['https://images.habimg.com/imgh/8205-909/atico-duplex-con-gran-terraza-en-malilla-espacio-luz-y-comodidad-para-tu-dia-a-dia-valencia_f6a6bdc1-1fe9-46e3-aee0-80dc471e0f0eP.jpg', 'https://static10.habimg.com/hab_inmuebles_img/app-retina-phone.png', 'https://images.habimg.com/imgh/8205-909/atico-duplex-con-gran-terraza-en-malilla-espacio-luz-y-comodidad-para-tu-dia-a-dia-valencia_76e1d8bf-77a6-496c-8864-dc081b112a95G.jpg', 'https://images.habimg.com/imgh/54917-56/calle-de-sant-vicent-martir-276-valencia_4d822385-60f3-44e3-a9e5-c32ed294a717.jpg', 'https://images.habimg.com/imgh/8205-909/atico-duplex-con-gran-terraza-en-malilla-espacio-luz-y-comodidad-para-tu-dia-a-dia-valencia_e8ce2b06-6fa7-4607-8092-f7dedf9a2906G.jpg']"
Valencia,valencia,Penthouse with heating pool in Barrio Benicalap Valencia,1720000.0,1.720.000€,Barrio Benicalap,2.0,5.0,50.0,5,https://english.habitaclia.com/buy-penthouse-barrio_benicalap-valencia-i40249000002105.htm?pag=5&f=&geo=p&from=list&lo=55,2025-09-01T19:22:34.250407,success,"['https://images.habimg.com/imgh/40249-2105/lujoso-atico-disenado-por-ricardo-bofill-valencia_caa01195-581c-459c-8e08-dc6714a2a4ffG.jpg', 'https://images.habimg.com/imgh/10919-1473/este-es-un-piso-familiar-en-un-barrio-agradable-a-un-paso-de-h-valencia_2699182e-24a1-4e9a-894a-f6ee53908175.jpg', 'https://static10.habimg.com/hab_inmuebles_img/app-retina-phone.png', 'https://images.habimg.com/imgh/40249-2116/piso-en-venta-en-pla-de-real-junto-a-los-jardinero-de-viveros-valencia_258ed99e-267f-4495-bfc2-46f1be01ffe7.jpg', 'https://images.habimg.com/imgh/40249-2105/lujoso-atico-disenado-por-ricardo-bofill-valencia_3c62fdb9-f60b-4653-8542-71b965a63f2cG.jpg']"
